Faction,Word,Word Frequency per Faction,Mean of all Word Frequencies,Standard Deviation of all Word Frequencies,Is a word more or less used?,
BÜNDNIS 90/DIE GRÜNEN,begrüßen,0.000139173629809,0.000107280686636,1.70293081778e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Bundesland,1.69506343998e-05,3.56484335213e-05,1.10851253009e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Redner,4.01462393679e-05,5.84095706136e-05,1.66026606806e-05,less,
BÜNDNIS 90/DIE GRÜNEN,offensichtlich,0.000194486226271,0.0001603312852,3.31289474083e-05,more,
BÜNDNIS 90/DIE GRÜNEN,ermöglichen,8.02924787359e-05,9.7917067271e-05,1.65662440323e-05,less,
BÜNDNIS 90/DIE GRÜNEN,fehlen,0.000173967037261,0.000132290322908,3.05302446923e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Kommission,0.000322062053596,0.000292883444238,2.12839309781e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Auge,0.000181996285135,0.000225617047222,3.27727469053e-05,less,
BÜNDNIS 90/DIE GRÜNEN,bieten,0.000189133394356,0.000206994318727,1.52459961015e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Arbeitsplatz,4.19305166732e-05,4.77447351136e-05,3.91436607178e-06,less,
BÜNDNIS 90/DIE GRÜNEN,vernünftig,0.000159692818819,0.000178096459304,1.14521750726e-05,less,
BÜNDNIS 90/DIE GRÜNEN,erwähnen,2.14113276629e-05,4.17899505776e-05,1.45518719696e-05,less,
BÜNDNIS 90/DIE GRÜNEN,grün,0.000583458678814,0.000486554474401,6.07910691109e-05,more,
BÜNDNIS 90/DIE GRÜNEN,übernehmen,7.7616062778e-05,9.26232879205e-05,1.36290864843e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Kenntnis,0.000147202877682,0.000165776340145,1.71077264607e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Konzept,0.000297082171323,0.000253827745798,3.55462584031e-05,more,
BÜNDNIS 90/DIE GRÜNEN,annehmen,2.85484368839e-05,2.43614321369e-05,2.52354224523e-06,more,
BÜNDNIS 90/DIE GRÜNEN,Aufmerksamkeit,7.40475081675e-05,0.000143354236837,6.04021697418e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Ausbau,0.000254259515997,0.000170899836427,4.64061066561e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Mindestlohn,0.000157016402861,0.000223004915528,6.41798127695e-05,less,
BÜNDNIS 90/DIE GRÜNEN,befinden,9.01060039147e-05,7.75623612521e-05,1.10050510146e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Risiko,0.000126683688672,0.000111300602459,8.8503194752e-06,more,
BÜNDNIS 90/DIE GRÜNEN,Reihe,0.000161477096124,0.000136314262106,2.39519607008e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Soldat,0.000261396625218,0.000320452106665,3.63984450588e-05,less,
BÜNDNIS 90/DIE GRÜNEN,weltweit,0.000107948776967,0.000154974077281,3.43336273137e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Reform,0.000314032805723,0.000238520131507,5.44494127254e-05,more,
BÜNDNIS 90/DIE GRÜNEN,stattfinden,6.51261216413e-05,5.97722354318e-05,3.02589967942e-06,more,
BÜNDNIS 90/DIE GRÜNEN,Aussage,0.000202515474145,0.000156181990657,3.54915752698e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Steuer,0.00068427034656,0.000855845824474,0.000145806250411,less,
BÜNDNIS 90/DIE GRÜNEN,erfolgen,8.02924787359e-05,0.000121750917584,3.34148787837e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Eindruck,0.00010884091562,0.00014541686598,2.72629512882e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Konsequenz,0.00014987929364,0.000129217549547,1.54380098946e-05,more,
BÜNDNIS 90/DIE GRÜNEN,pro,0.0021090157748,0.00222361389356,7.52183528052e-05,less,
BÜNDNIS 90/DIE GRÜNEN,schützen,0.000126683688672,0.000108090702024,1.39015594891e-05,more,
BÜNDNIS 90/DIE GRÜNEN,funktionieren,0.000100811667746,8.6813725005e-05,1.36309443759e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Betrieb,0.000186456978398,0.000249987531173,4.7569128943e-05,less,
BÜNDNIS 90/DIE GRÜNEN,umfassend,0.000139173629809,0.000125713620829,1.21235283831e-05,more,
BÜNDNIS 90/DIE GRÜNEN,frei,0.000734230111107,0.0008441430555,7.59977825783e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Erfahrung,9.99195290935e-05,0.000146335858563,2.42899708205e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Information,0.000322062053596,0.000233657868972,4.58404233123e-05,more,
BÜNDNIS 90/DIE GRÜNEN,eindeutig,0.000118654440799,0.000124994825003,4.19810508875e-06,less,
BÜNDNIS 90/DIE GRÜNEN,Mai,0.000206084028755,0.000186810115384,1.27574967132e-05,more,
BÜNDNIS 90/DIE GRÜNEN,vorhanden,0.000115085886188,0.000129472965203,1.22013045463e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Investition,0.000167722066693,0.000202846432412,3.25528094805e-05,less,
BÜNDNIS 90/DIE GRÜNEN,UN,0.000329199162817,0.000255831745276,6.35988134751e-05,more,
BÜNDNIS 90/DIE GRÜNEN,genug,0.000135605075198,0.000147699798355,1.19667387842e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Beteiligung,0.000105272361009,0.000131802696644,1.79007925654e-05,less,
BÜNDNIS 90/DIE GRÜNEN,interfraktionell,4.4606932631e-05,2.11467357303e-05,1.39708920291e-05,more,
BÜNDNIS 90/DIE GRÜNEN,beraten,7.31553695149e-05,0.000116929296192,3.32944007857e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Lohn,0.000151663570946,0.000255517889673,0.00010355409522,less,
BÜNDNIS 90/DIE GRÜNEN,Realität,0.000124899411367,0.000155938426908,3.02315365239e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Finanzierung,0.000172182759956,0.000190706761209,1.82927790871e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Satz,0.000177535591872,0.000143064937721,2.4496729807e-05,more,
BÜNDNIS 90/DIE GRÜNEN,rechen,0.000979568240578,0.00109908392429,0.000111847214455,less,
BÜNDNIS 90/DIE GRÜNEN,Ausbildung,0.000173074898608,0.000228603367232,4.15530026701e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Auftrag,0.000165937789387,0.000126213896622,2.21570874533e-05,more,
BÜNDNIS 90/DIE GRÜNEN,verfolgen,2.94405755365e-05,5.91953720222e-05,2.26051597596e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Geschichte,0.000122222995409,0.000132077369397,6.95273743037e-06,less,
BÜNDNIS 90/DIE GRÜNEN,liefern,8.38610333464e-05,5.5547214847e-05,1.86415399603e-05,more,
BÜNDNIS 90/DIE GRÜNEN,sichern,8.92138652621e-05,0.000120572726292,1.8330155296e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Wert,0.000195378364924,0.000245171900874,3.87381380826e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Bundesministerien,1.15978024841e-05,6.44093629326e-06,2.85553378289e-06,more,
BÜNDNIS 90/DIE GRÜNEN,schwarz,0.000231063911029,0.000151785585976,7.00281076626e-05,more,
BÜNDNIS 90/DIE GRÜNEN,rechtlich,0.00047997059511,0.000356694963843,6.78087577531e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Fehler,0.000161477096124,0.000137486905652,1.77745594462e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Mandat,0.000218573969892,0.000181522673631,2.36848145473e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Rente,0.000136497213851,0.000504581986195,0.000241211237433,less,
BÜNDNIS 90/DIE GRÜNEN,scheinen,8.83217266095e-05,7.22786465253e-05,9.13342871232e-06,more,
BÜNDNIS 90/DIE GRÜNEN,Gründen,8.56453106516e-05,0.000108008382223,1.28735613557e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Bundesverfassungsgericht,0.000188241255703,0.000161976413308,2.29084227469e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Verhältnis,0.000127575827325,0.000142651684911,1.47472112589e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Nation,0.000156124264209,0.00018100832328,2.05782155695e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Erkenntnis,0.000140957907114,0.000124839089849,1.48884664334e-05,more,
BÜNDNIS 90/DIE GRÜNEN,angemessen,0.000180212007829,0.000166665059557,1.02706677816e-05,more,
BÜNDNIS 90/DIE GRÜNEN,formulieren,3.12248528417e-05,3.55320242039e-05,4.30593326727e-06,less,
BÜNDNIS 90/DIE GRÜNEN,PID,8.56453106516e-05,5.95646525123e-05,1.86775573434e-05,more,
BÜNDNIS 90/DIE GRÜNEN,demokratisch,0.000161477096124,0.00021676058992,3.80727053807e-05,less,
BÜNDNIS 90/DIE GRÜNEN,lauten,1.07056638315e-05,1.96415681759e-05,5.67745098048e-06,less,
BÜNDNIS 90/DIE GRÜNEN,Vertrag,0.000216789692587,0.000179692290786,3.3429278689e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Fortschritt,8.74295879568e-05,0.000137550443875,3.9151361123e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Strategie,0.000205191890103,0.000169650513869,2.6873729439e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Aussprache,1.78427730524e-06,4.20404694519e-06,1.31122131342e-06,less,
BÜNDNIS 90/DIE GRÜNEN,dauerhaft,8.74295879568e-05,0.000107273464245,1.2726257955e-05,less,
BÜNDNIS 90/DIE GRÜNEN,sitzen,0.000231063911029,0.000203226938995,1.94955950943e-05,more,
BÜNDNIS 90/DIE GRÜNEN,bestätigen,4.90676258941e-05,3.84128922073e-05,7.21170492218e-06,more,
BÜNDNIS 90/DIE GRÜNEN,Studie,0.000397001700416,0.000321818092223,6.93097064609e-05,more,
BÜNDNIS 90/DIE GRÜNEN,vereint,1.78427730524e-06,5.39220606696e-06,3.05694157546e-06,less,
BÜNDNIS 90/DIE GRÜNEN,Vertrauen,0.000126683688672,0.000160441580844,3.30658904723e-05,less,
BÜNDNIS 90/DIE GRÜNEN,entsprechen,0.000373806095448,0.000449948210351,7.50335857439e-05,less,
BÜNDNIS 90/DIE GRÜNEN,erneuerbaren,0.000190025533008,0.000124189818096,4.09378499246e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Bild,0.000719955892665,0.000823897763631,8.08981698964e-05,less,
BÜNDNIS 90/DIE GRÜNEN,empfehlen,1.78427730524e-05,2.3685014728e-05,4.91499348334e-06,less,
